backend,depth,constraints,compile_ms,setup_ms,pk_size_bytes,vk_size_bytes,prove_ms,verify_ms,proof_size_bytes
plonk,10,373981,226,9754,33588904,34368,5991,1,584
plonk,15,378426,206,1488,33588904,34368,5179,1,584
plonk,20,382871,200,1237,33588904,34368,5136,1,584
plonk,25,387316,257,1423,33588904,34368,5130,1,584
plonk,32,393539,237,1207,33588904,34368,5185,1,584
